"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L pre-SMA",-0.0031,0.0122,0.3982,-0.027,-0.023,-0.0031,0.0171,0.0207
"L Ventral striatum",0.0066,0.012,0.7096,-0.0171,-0.013,0.0067,0.0265,0.0305
"M PCC",-0.0121,0.0138,0.1876,-0.0394,-0.035,-0.0121,0.0106,0.015
"M vmPFC1",-0.0126,0.0126,0.1593,-0.0374,-0.0333,-0.0126,0.0079,0.012
"M vmPFC2",-0.0021,0.0126,0.4321,-0.0268,-0.0227,-0.0022,0.0185,0.0225
"R ACC",-0.0098,0.0116,0.1972,-0.0324,-0.0288,-0.0099,0.0093,0.013
"R ant. Caudate",-0.0029,0.0117,0.4039,-0.0261,-0.0224,-0.0028,0.0164,0.0202
"R ant. dorsal Insula",0.011,0.0119,0.8241,-0.0121,-0.0084,0.0109,0.0306,0.0343
"R ant. Hippocampus",-0.0043,0.0128,0.3646,-0.0293,-0.0251,-0.0044,0.0169,0.021
"R ant. MCC",-8e-04,0.0121,0.4748,-0.0245,-0.0206,-7e-04,0.0191,0.0229
"R ant. Putamen",-0.0032,0.0113,0.3863,-0.0252,-0.0217,-0.0033,0.0154,0.019
"R ant. Thalamus",-0.0152,0.0126,0.1154,-0.0399,-0.036,-0.0152,0.0056,0.0098
"R ant. ventral Insula",-0.0026,0.012,0.4148,-0.0265,-0.0224,-0.0026,0.0169,0.0209
"R BLBM Amygdala",-0.0196,0.0127,0.0623,-0.0442,-0.0405,-0.0196,0.0014,0.0053
"R BST",-0.0066,0.0148,0.3233,-0.0356,-0.0308,-0.0067,0.0178,0.0224
"R CeMe Amygdala",-0.0153,0.013,0.1183,-0.0411,-0.0368,-0.0151,0.0059,0.0103
"R dlPFC",-0.018,0.012,0.0669,-0.0417,-0.0381,-0.018,0.0018,0.0055
"R Hippocampus body",0.0042,0.0119,0.6383,-0.0191,-0.0154,0.0043,0.0236,0.0274
"R Hippocampus tail",-0.0126,0.0119,0.1424,-0.0361,-0.0323,-0.0126,0.0069,0.0109
"R Hypothalamus",-0.0051,0.0143,0.3545,-0.0328,-0.0285,-0.0051,0.0188,0.0234
"R lat. OFC",-0.0106,0.0135,0.2154,-0.037,-0.0328,-0.0106,0.0118,0.0161
"R Lobule IX",-0.012,0.0118,0.1535,-0.0351,-0.0313,-0.012,0.0075,0.0113
"R med. OFC",-0.0074,0.0117,0.262,-0.0304,-0.0267,-0.0074,0.0119,0.0155
"R mid/post Insula",-0.0188,0.0109,0.042,-0.0404,-0.0368,-0.0188,-9e-04,0.0025
"R PAG",-0.0062,0.0139,0.3244,-0.0336,-0.029,-0.0062,0.0168,0.0216
"R PCC",-0.0137,0.015,0.1791,-0.0431,-0.0382,-0.0138,0.0113,0.0162
"R PCC/precuneus",-0.0226,0.0149,0.063,-0.0522,-0.0475,-0.0225,0.0018,0.0065
"R post. Caudate",0.0115,0.0137,0.7998,-0.0155,-0.011,0.0115,0.034,0.0384
"R post. Putamen",-0.0092,0.0115,0.2102,-0.0318,-0.0281,-0.0091,0.0098,0.0136
"R post. Thalamus",-0.0176,0.0114,0.059,-0.0399,-0.0364,-0.0175,9e-04,0.0048
"R pre-SMA",-0.0198,0.0136,0.0716,-0.0464,-0.0421,-0.0197,0.0024,0.0066
"R Ventral striatum",1e-04,0.0122,0.5045,-0.0238,-0.0199,1e-04,0.0203,0.024
