"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"R ant. MCC",0.0044,0.0124,0.6397,-0.0202,-0.0163,0.0045,0.0246,0.0286
"R ant. Putamen",-7e-04,0.0114,0.4775,-0.0232,-0.0196,-6e-04,0.0179,0.0214
"R ant. Thalamus",0.0128,0.0125,0.8483,-0.0117,-0.0077,0.0127,0.0332,0.037
"R ant. ventral Insula",-7e-04,0.0123,0.4802,-0.0249,-0.0211,-6e-04,0.0195,0.0235
"R BLBM Amygdala",0.0126,0.0128,0.8387,-0.0127,-0.0085,0.0126,0.0332,0.0374
"R BST",-0.0076,0.0149,0.3049,-0.0376,-0.0323,-0.0074,0.0165,0.0209
"R CeMe Amygdala",0.0104,0.0128,0.7923,-0.0146,-0.0107,0.0105,0.0313,0.0354
"R dlPFC",-8e-04,0.0123,0.4766,-0.0251,-0.0211,-7e-04,0.0193,0.0231
"R Hippocampus body",0.002,0.0119,0.5698,-0.0214,-0.0177,0.0021,0.0216,0.0253
"R Hippocampus tail",0.0081,0.012,0.7515,-0.0155,-0.0116,0.0082,0.0277,0.0317
"R Hypothalamus",0.0049,0.0139,0.6405,-0.0225,-0.0181,0.0049,0.0274,0.0319
"R lat. OFC",0.0099,0.0132,0.7738,-0.0163,-0.0119,0.0099,0.0315,0.0358
"R Lobule IX",0.0232,0.0122,0.9701,-0.001,0.003,0.0232,0.0432,0.0472
"R med. OFC",0.0152,0.0117,0.9026,-0.008,-0.0042,0.0152,0.0344,0.0381
"R mid/post Insula",0.0174,0.0112,0.9394,-0.0049,-0.0011,0.0175,0.0357,0.0394
"R PAG",-0.0026,0.0136,0.4279,-0.03,-0.0253,-0.0024,0.0194,0.0235
"R PCC",0.0121,0.0151,0.7921,-0.0184,-0.0131,0.0123,0.0363,0.0408
"R PCC/precuneus",0.0129,0.0146,0.8132,-0.0161,-0.0112,0.0131,0.0365,0.0408
"R post. Caudate",-0.0089,0.0139,0.2635,-0.0366,-0.0321,-0.0088,0.0138,0.0181
"R post. Putamen",0.0032,0.0116,0.6129,-0.02,-0.0162,0.0033,0.022,0.0257
"R post. Thalamus",0.0167,0.0118,0.9215,-0.0067,-0.0028,0.0167,0.0359,0.0396
"R pre-SMA",0.0086,0.0136,0.7366,-0.0181,-0.0137,0.0087,0.031,0.0352
"R Ventral striatum",0.0048,0.0124,0.6554,-0.0197,-0.0156,0.0049,0.0253,0.0292
