"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"M PCC",-0.013,0.0118,0.1332,-0.0362,-0.0324,-0.0129,0.0065,0.0102
"M vmPFC1",-0.0157,0.0112,0.0765,-0.0378,-0.0342,-0.0157,0.0025,0.0058
"M vmPFC2",-0.0102,0.0111,0.1745,-0.0321,-0.0286,-0.0102,0.0077,0.0114
"R ACC",-0.0131,0.0104,0.103,-0.0338,-0.0303,-0.013,0.0039,0.0071
"R ant. Caudate",-0.0105,0.0103,0.157,-0.0309,-0.0274,-0.0104,0.0063,0.0095
"R ant. dorsal Insula",0.0105,0.0107,0.837,-0.0107,-0.0073,0.0105,0.0281,0.0314
"R ant. Hippocampus",-0.0109,0.0115,0.1689,-0.0333,-0.0298,-0.0109,0.0078,0.0115
"R ant. MCC",-0.0111,0.0106,0.1477,-0.0322,-0.0288,-0.011,0.0061,0.0094
"R ant. Putamen",-0.0041,0.0103,0.3446,-0.0244,-0.0212,-0.0041,0.0128,0.0161
"R ant. Thalamus",-0.0112,0.0113,0.1596,-0.0333,-0.0298,-0.0112,0.0075,0.011
"R ant. ventral Insula",-0.0084,0.0106,0.2143,-0.0295,-0.026,-0.0083,0.0088,0.0122
"R BLBM Amygdala",-0.0141,0.0113,0.1044,-0.0366,-0.0327,-0.014,0.0042,0.0078
"R BST",-0.0137,0.0124,0.1308,-0.0386,-0.0343,-0.0135,0.0064,0.0102
"R CeMe Amygdala",-0.0061,0.0115,0.2905,-0.0285,-0.0248,-0.0062,0.0129,0.0168
"R dlPFC",-0.0089,0.0109,0.2054,-0.0309,-0.0272,-0.0088,0.0086,0.0119
"R Hippocampus body",-0.0127,0.0104,0.1098,-0.0333,-0.0299,-0.0127,0.0044,0.0076
"R Hippocampus tail",-0.0115,0.0108,0.1398,-0.0331,-0.0295,-0.0114,0.0059,0.0092
"R Hypothalamus",-0.0095,0.0119,0.2118,-0.0331,-0.0292,-0.0095,0.0099,0.0139
"R lat. OFC",-0.0143,0.0118,0.1117,-0.0381,-0.0339,-0.0142,0.0049,0.0088
"R Lobule IX",-0.0105,0.0102,0.15,-0.0306,-0.0274,-0.0104,0.0062,0.0093
"R med. OFC",0,0.0104,0.5034,-0.0205,-0.017,1e-04,0.0171,0.0204
"R mid/post Insula",-0.0142,0.01,0.076,-0.0341,-0.0308,-0.0142,0.0021,0.0052
"R PAG",-0.0038,0.0121,0.3716,-0.0275,-0.0236,-0.0039,0.0162,0.0202
"R PCC",-0.0238,0.014,0.045,-0.0512,-0.0466,-0.0239,-8e-04,0.004
"R PCC/precuneus",-0.0192,0.0136,0.077,-0.0467,-0.0418,-0.0189,0.0029,0.0072
"R post. Caudate",-0.0026,0.011,0.4041,-0.0241,-0.0208,-0.0027,0.0154,0.0189
"R post. Putamen",-0.0032,0.0107,0.3843,-0.0241,-0.0208,-0.0031,0.0142,0.0178
"R post. Thalamus",-0.0161,0.0103,0.0567,-0.0365,-0.0331,-0.0161,6e-04,0.0039
"R pre-SMA",-0.0084,0.0113,0.2257,-0.0311,-0.0272,-0.0083,0.01,0.0134
"R Ventral striatum",-0.017,0.0106,0.0533,-0.038,-0.0346,-0.017,3e-04,0.0035
