"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"M vmPFC1",-0.0763,0.0214,2e-04,-0.1185,-0.1116,-0.0762,-0.0414,-0.0346
"M vmPFC2",-0.0027,0.0198,0.4488,-0.0416,-0.0355,-0.0026,0.0298,0.0363
"R ACC",0.0274,0.0159,0.957,-0.0037,0.0011,0.0276,0.0533,0.0586
"R ant. Caudate",0.0392,0.0166,0.9905,0.0066,0.0118,0.0392,0.0665,0.0719
"R ant. dorsal Insula",0.0647,0.0161,1,0.0329,0.0381,0.0648,0.0912,0.0966
"R ant. Hippocampus",-0.0977,0.0202,0,-0.1378,-0.1308,-0.0976,-0.0643,-0.0582
"R ant. MCC",0.0847,0.0188,1,0.048,0.0538,0.0848,0.1155,0.1215
"R ant. Putamen",0.022,0.016,0.9151,-0.0093,-0.0043,0.022,0.0484,0.0533
"R ant. Thalamus",0.012,0.0188,0.7382,-0.0248,-0.0188,0.012,0.0431,0.049
"R ant. ventral Insula",0.016,0.0187,0.8051,-0.0204,-0.0146,0.0159,0.0468,0.0528
"R BLBM Amygdala",-0.0823,0.0219,0,-0.1252,-0.1181,-0.0823,-0.0461,-0.0391
"R BST",0.1037,0.0311,0.9996,0.0428,0.0528,0.1035,0.1548,0.1655
"R CeMe Amygdala",-0.0486,0.0219,0.0127,-0.0916,-0.0849,-0.0485,-0.0132,-0.0062
"R dlPFC",0.049,0.0174,0.9973,0.0146,0.0202,0.049,0.0774,0.0831
"R Hippocampus body",-0.0507,0.0171,0.0016,-0.0845,-0.0792,-0.0507,-0.0225,-0.0172
"R Hippocampus tail",-0.045,0.0176,0.0054,-0.0794,-0.0738,-0.0451,-0.0162,-0.0106
"R Hypothalamus",0.0187,0.0297,0.7332,-0.0397,-0.0302,0.0187,0.0677,0.0778
"R lat. OFC",-0.06,0.0226,0.0042,-0.1044,-0.097,-0.0601,-0.0228,-0.0157
"R Lobule IX",-0.0324,0.0163,0.022,-0.0642,-0.0594,-0.0323,-0.0057,-9e-04
"R med. OFC",-0.0289,0.0162,0.0368,-0.0605,-0.0556,-0.0288,-0.0023,0.0027
"R mid/post Insula",-0.0215,0.0151,0.0786,-0.0513,-0.0464,-0.0215,0.0035,0.008
"R PAG",0.0411,0.0276,0.9317,-0.0129,-0.0043,0.0411,0.0866,0.095
"R PCC",-0.1787,0.0273,0,-0.2328,-0.224,-0.1785,-0.1343,-0.1256
"R PCC/precuneus",-0.1655,0.0314,0,-0.2276,-0.2178,-0.1655,-0.114,-0.1045
"R post. Caudate",-0.0291,0.0209,0.0809,-0.0701,-0.0636,-0.0292,0.0052,0.012
"R post. Putamen",-0.0249,0.0173,0.0735,-0.0587,-0.0535,-0.025,0.0033,0.009
"R post. Thalamus",-0.0176,0.0166,0.1445,-0.0504,-0.0451,-0.0175,0.0093,0.0147
"R pre-SMA",0.082,0.0224,0.9999,0.0386,0.0454,0.0818,0.1189,0.1259
"R Ventral striatum",0.0044,0.0187,0.5941,-0.0324,-0.0264,0.0044,0.0349,0.0412
