"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"M vmPFC1",-0.0121,0.0265,0.3224,-0.0641,-0.0555,-0.0121,0.031,0.0399
"M vmPFC2",-0.0205,0.0271,0.2258,-0.0752,-0.0658,-0.02,0.0234,0.0313
"R ACC",-0.0047,0.0268,0.4218,-0.0567,-0.0487,-0.0052,0.04,0.0488
"R ant. Caudate",0.0015,0.0279,0.5147,-0.0522,-0.0442,0.0011,0.0478,0.0574
"R ant. dorsal Insula",-0.0114,0.0264,0.3306,-0.0629,-0.0548,-0.0115,0.0325,0.0405
"R ant. Hippocampus",-0.0226,0.0272,0.205,-0.077,-0.0682,-0.0222,0.0208,0.0297
"R ant. MCC",-0.0022,0.0272,0.4589,-0.0538,-0.0455,-0.0027,0.043,0.053
"R ant. Putamen",-0.0037,0.0269,0.4358,-0.0548,-0.0468,-0.0042,0.0408,0.0504
"R ant. Thalamus",0.0011,0.0274,0.5092,-0.0512,-0.0434,6e-04,0.0475,0.0563
"R ant. ventral Insula",-0.0047,0.0267,0.4244,-0.0568,-0.0484,-0.0049,0.0396,0.0482
"R BLBM Amygdala",-0.0233,0.0277,0.1968,-0.078,-0.0693,-0.0231,0.022,0.0308
"R BST",0.0023,0.0288,0.5282,-0.0534,-0.0442,0.0019,0.0497,0.0592
"R CeMe Amygdala",-0.0135,0.027,0.3034,-0.0653,-0.0574,-0.0137,0.031,0.0403
"R dlPFC",-0.0107,0.0271,0.3394,-0.0632,-0.0549,-0.0111,0.0347,0.0434
"R Hippocampus body",-0.0149,0.0266,0.2842,-0.0677,-0.0586,-0.0146,0.0285,0.0369
"R Hippocampus tail",-0.0124,0.0266,0.3204,-0.0646,-0.0564,-0.0124,0.0314,0.0391
"R Hypothalamus",-0.0332,0.0316,0.142,-0.0956,-0.0855,-0.0328,0.0179,0.0272
"R lat. OFC",-0.0249,0.0276,0.1806,-0.08,-0.071,-0.0244,0.0196,0.0277
"R Lobule IX",-0.0144,0.0264,0.2934,-0.0661,-0.0576,-0.0143,0.0288,0.0379
"R med. OFC",-0.0185,0.0268,0.244,-0.0714,-0.0626,-0.0184,0.0251,0.0337
"R mid/post Insula",-0.0049,0.0269,0.421,-0.0563,-0.0484,-0.0053,0.0404,0.0494
"R PAG",-0.0313,0.029,0.1342,-0.091,-0.0802,-0.0305,0.0147,0.0233
"R PCC",-0.0188,0.0268,0.2415,-0.0732,-0.0632,-0.0184,0.0249,0.0328
"R PCC/precuneus",-0.0199,0.0269,0.2284,-0.0737,-0.0644,-0.0194,0.0238,0.0322
"R post. Caudate",-0.0101,0.0263,0.346,-0.0613,-0.0532,-0.0102,0.0335,0.0417
"R post. Putamen",-0.0077,0.0265,0.381,-0.0592,-0.0507,-0.0082,0.0362,0.0454
"R post. Thalamus",-7e-04,0.0273,0.476,-0.0534,-0.0445,-0.0015,0.0453,0.0546
"R pre-SMA",-0.0077,0.0268,0.3779,-0.0595,-0.051,-0.0082,0.0369,0.046
"R Ventral striatum",-0.0104,0.0273,0.3527,-0.0646,-0.0555,-0.0103,0.0338,0.0425
