"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L post. Putamen",-0.4313,0.1256,3e-04,-0.679,-0.6385,-0.4299,-0.2267,-0.1857
"L post. Thalamus",-0.2364,0.11,0.0152,-0.4539,-0.419,-0.2359,-0.0571,-0.0227
"L pre-SMA",0.0318,0.1366,0.5918,-0.2335,-0.1929,0.0317,0.2575,0.3011
"L Ventral striatum",0.0073,0.1172,0.5232,-0.2214,-0.1846,0.0072,0.2006,0.2398
"M PCC",-0.6994,0.1568,0,-1.0062,-0.9565,-0.6995,-0.4413,-0.3946
"M vmPFC1",-0.4519,0.1417,5e-04,-0.732,-0.6876,-0.4513,-0.2216,-0.1789
"M vmPFC2",-0.1209,0.122,0.1592,-0.3588,-0.3202,-0.1213,0.0795,0.1194
"R ACC",0.2006,0.1165,0.9594,-0.0262,0.0114,0.1993,0.3949,0.4316
"R ant. Caudate",0.1793,0.1149,0.9399,-0.0454,-0.0106,0.1788,0.369,0.4035
"R ant. dorsal Insula",0.1716,0.1124,0.9371,-0.0494,-0.013,0.1716,0.3558,0.3913
"R ant. Hippocampus",-0.6909,0.1324,0,-0.952,-0.9101,-0.6899,-0.4737,-0.4321
"R ant. MCC",0.487,0.1419,0.9998,0.213,0.2534,0.487,0.7237,0.77
"R ant. Putamen",0.0323,0.1188,0.6066,-0.1992,-0.1619,0.0323,0.2258,0.2661
"R ant. Thalamus",0.0524,0.1226,0.6639,-0.184,-0.1477,0.0525,0.2563,0.2935
"R ant. ventral Insula",0.0897,0.1222,0.7685,-0.1491,-0.1112,0.0893,0.291,0.3278
"R BLBM Amygdala",-0.3867,0.1416,0.003,-0.6659,-0.6198,-0.3867,-0.1544,-0.1109
"R BST",0.8864,0.1898,1,0.5072,0.5716,0.8874,1.1956,1.2534
"R CeMe Amygdala",-0.332,0.1365,0.0075,-0.6009,-0.5574,-0.3317,-0.1082,-0.0653
"R dlPFC",0.2433,0.1233,0.9766,0.0031,0.0406,0.2425,0.4471,0.4867
"R Hippocampus body",-0.2376,0.11,0.0151,-0.4521,-0.4178,-0.238,-0.0565,-0.022
"R Hippocampus tail",-0.2453,0.116,0.0169,-0.4748,-0.4371,-0.2444,-0.0558,-0.0182
"R Hypothalamus",-0.1246,0.2092,0.2738,-0.5278,-0.4661,-0.1275,0.2218,0.2944
"R lat. OFC",-0.5882,0.1557,0,-0.8968,-0.846,-0.5873,-0.3354,-0.2878
"R Lobule IX",-0.2863,0.1121,0.0054,-0.5054,-0.4693,-0.2859,-0.1012,-0.0648
"R med. OFC",-0.2498,0.1138,0.0137,-0.4779,-0.438,-0.2498,-0.0628,-0.0282
"R mid/post Insula",-0.1847,0.1103,0.0468,-0.4002,-0.3669,-0.185,-0.0036,0.0324
"R PAG",0.2101,0.1548,0.9121,-0.0957,-0.0456,0.2115,0.4632,0.5098
"R PCC",-0.8439,0.1558,0,-1.154,-1.1035,-0.8432,-0.5915,-0.5413
"R PCC/precuneus",-1.1353,0.1705,0,-1.4696,-1.4166,-1.1351,-0.8549,-0.8048
"R post. Caudate",-0.1632,0.1182,0.0835,-0.3956,-0.3569,-0.1637,0.0324,0.0693
"R post. Putamen",-0.2309,0.1189,0.0256,-0.4659,-0.4279,-0.2304,-0.0363,0.0013
"R post. Thalamus",-0.228,0.1132,0.0221,-0.4517,-0.4142,-0.2274,-0.0431,-0.0077
"R pre-SMA",0.1178,0.1374,0.804,-0.1456,-0.1048,0.117,0.3456,0.3919
"R Ventral striatum",0.1051,0.1175,0.8144,-0.1242,-0.0886,0.1054,0.2988,0.3364
