"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L mid/post Insula",0.0201,0.062,0.626,-0.1012,-0.0816,0.0199,0.1225,0.1418
"L PAG",0.0865,0.0812,0.8586,-0.0735,-0.0463,0.0869,0.2201,0.246
"L PCC",0.1006,0.0717,0.9232,-0.0372,-0.0157,0.0992,0.2204,0.2451
"L PCC/precuneus",-0.0353,0.1117,0.3952,-0.2689,-0.2288,-0.0295,0.1368,0.1666
"L post. Caudate",-0.0138,0.0621,0.4148,-0.1388,-0.117,-0.0132,0.0867,0.106
"L post. Putamen",0.0141,0.0659,0.5896,-0.1178,-0.0962,0.015,0.1208,0.1408
"L post. Thalamus",0.0219,0.0612,0.6413,-0.0982,-0.0782,0.0221,0.1229,0.143
"L pre-SMA",0.0882,0.0773,0.8809,-0.0541,-0.0326,0.0843,0.2215,0.2518
"L Ventral striatum",0.0013,0.0619,0.5133,-0.1228,-0.1015,0.002,0.1018,0.1209
"M PCC",0.0292,0.0763,0.6581,-0.1254,-0.0983,0.0309,0.1526,0.1752
"M vmPFC1",0.1018,0.071,0.9284,-0.0324,-0.0117,0.1003,0.2212,0.2458
"M vmPFC2",0.0629,0.0638,0.8402,-0.0613,-0.0409,0.0623,0.1694,0.1907
"R ACC",-0.0134,0.066,0.4218,-0.1447,-0.1224,-0.0127,0.0938,0.114
"R ant. Caudate",-0.0469,0.0662,0.243,-0.1806,-0.1574,-0.0456,0.0599,0.0796
"R ant. dorsal Insula",0.0392,0.0636,0.7331,-0.0843,-0.0647,0.0383,0.1447,0.1661
"R ant. Hippocampus",0.0902,0.069,0.9064,-0.0432,-0.0218,0.0894,0.2046,0.2284
"R ant. MCC",-0.0039,0.0699,0.4805,-0.1428,-0.1199,-0.0034,0.1099,0.1313
"R ant. Putamen",-0.0221,0.0652,0.3717,-0.1536,-0.1307,-0.0211,0.0841,0.1035
"R ant. Thalamus",-0.0091,0.0642,0.4492,-0.1396,-0.1171,-0.008,0.0944,0.1134
"R ant. ventral Insula",0.0485,0.0654,0.7718,-0.0783,-0.0578,0.0477,0.1571,0.1793
"R BLBM Amygdala",0.0215,0.0674,0.6313,-0.1142,-0.091,0.0224,0.1305,0.1524
"R BST",0.1253,0.1062,0.8828,-0.0825,-0.0494,0.1249,0.2996,0.3354
"R CeMe Amygdala",0.0337,0.0688,0.6928,-0.1036,-0.0817,0.0348,0.1452,0.1668
"R dlPFC",-0.0263,0.0693,0.3541,-0.1654,-0.1426,-0.0253,0.0872,0.1077
"R Hippocampus body",0.0084,0.0606,0.5575,-0.11,-0.0914,0.0084,0.1079,0.1262
"R Hippocampus tail",0.0221,0.0623,0.6391,-0.1015,-0.08,0.0222,0.1245,0.1448
"R Hypothalamus",0.2706,0.12,0.9964,0.0619,0.0895,0.261,0.4826,0.5276
"R lat. OFC",-0.0093,0.0833,0.4722,-0.185,-0.1532,-0.0056,0.1201,0.1445
"R Lobule IX",0.0251,0.0636,0.6551,-0.0998,-0.0795,0.0253,0.1289,0.151
"R med. OFC",0.0216,0.063,0.6369,-0.1013,-0.0819,0.0216,0.1251,0.1458
"R mid/post Insula",0.0208,0.0621,0.6289,-0.1012,-0.0809,0.0209,0.1229,0.1435
"R PAG",0.1703,0.0858,0.9771,0.0036,0.0311,0.1691,0.3143,0.3421
"R PCC",0.1266,0.0779,0.9504,-0.0229,3e-04,0.126,0.2561,0.2824
"R PCC/precuneus",0.0571,0.0873,0.7489,-0.1193,-0.0884,0.0583,0.198,0.225
"R post. Caudate",-0.0164,0.0661,0.4101,-0.1512,-0.128,-0.015,0.0886,0.1076
"R post. Putamen",0.019,0.062,0.6227,-0.1032,-0.0833,0.0192,0.1208,0.14
"R post. Thalamus",0.0356,0.0623,0.7161,-0.0867,-0.0659,0.0354,0.139,0.1595
"R pre-SMA",0.0612,0.0718,0.8047,-0.0746,-0.0537,0.0594,0.1825,0.2084
"R Ventral striatum",0.0444,0.0646,0.7532,-0.0808,-0.0612,0.0436,0.1517,0.1725
