"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"R ant. Putamen",-0.0135,0.0104,0.0955,-0.0342,-0.0309,-0.0134,0.0036,0.0068
"R ant. Thalamus",-0.0033,0.0108,0.3832,-0.0248,-0.0213,-0.0032,0.0141,0.0176
"R ant. ventral Insula",0.0161,0.011,0.9302,-0.0051,-0.0018,0.0161,0.0341,0.0377
"R BLBM Amygdala",-0.0028,0.0113,0.4049,-0.025,-0.0215,-0.0027,0.0158,0.0193
"R BST",0.0139,0.0212,0.7481,-0.0285,-0.0214,0.0142,0.0486,0.055
"R CeMe Amygdala",0.005,0.0116,0.6735,-0.0181,-0.0143,0.0052,0.0239,0.0274
"R dlPFC",-0.0046,0.0109,0.3347,-0.0261,-0.0225,-0.0046,0.0132,0.0166
"R Hippocampus body",0.0016,0.0095,0.5678,-0.0173,-0.0142,0.0016,0.0173,0.0203
"R Hippocampus tail",0.0017,0.0103,0.5686,-0.0186,-0.0153,0.0017,0.0183,0.0215
"R Hypothalamus",0.045,0.0185,0.9967,0.011,0.0157,0.0445,0.0764,0.0827
"R lat. OFC",-0.0032,0.0151,0.427,-0.0341,-0.0291,-0.0027,0.0205,0.0248
"R Lobule IX",0.0078,0.0098,0.7895,-0.0113,-0.0081,0.0078,0.0239,0.027
"R med. OFC",0.0098,0.0096,0.8456,-0.0092,-0.0061,0.0098,0.0254,0.0284
"R mid/post Insula",0.0037,0.0095,0.6525,-0.0149,-0.012,0.0037,0.0191,0.0222
"R PAG",0.0269,0.0153,0.9636,-0.0026,0.0023,0.0266,0.0524,0.0575
"R PCC",0.0263,0.0138,0.974,-2e-04,0.0041,0.0261,0.0495,0.0542
"R PCC/precuneus",0.0137,0.0162,0.8058,-0.0183,-0.0131,0.0138,0.0402,0.0455
"R post. Caudate",-0.0049,0.011,0.3305,-0.027,-0.0234,-0.0047,0.0126,0.0158
"R post. Putamen",0.003,0.0099,0.6236,-0.0169,-0.0135,0.0031,0.0191,0.0222
"R post. Thalamus",0.0062,0.0098,0.7364,-0.0132,-0.01,0.0062,0.0224,0.0254
"R pre-SMA",0.0114,0.0117,0.8402,-0.011,-0.0075,0.0113,0.0311,0.0349
"R Ventral striatum",0.0103,0.0107,0.8306,-0.0106,-0.0073,0.0102,0.0281,0.0316
