"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L post. Putamen",-0.0029,0.0079,0.3512,-0.0182,-0.0157,-0.003,0.0101,0.0126
"L post. Thalamus",-0.0049,0.0077,0.2613,-0.0199,-0.0174,-0.0048,0.0078,0.0103
"L pre-SMA",-0.0053,0.0079,0.2506,-0.021,-0.0184,-0.0052,0.0077,0.0102
"L Ventral striatum",-0.0038,0.0079,0.3114,-0.0194,-0.0168,-0.0039,0.0094,0.0119
"M PCC",-0.0038,0.0085,0.3222,-0.0204,-0.0176,-0.0038,0.0102,0.0132
"M vmPFC1",-0.0053,0.0083,0.2564,-0.0219,-0.0191,-0.0053,0.0082,0.0108
"M vmPFC2",-0.0066,0.0085,0.2148,-0.0241,-0.0209,-0.0064,0.0068,0.0092
"R ACC",-0.0034,0.0079,0.3296,-0.0187,-0.0162,-0.0034,0.0095,0.0122
"R ant. Caudate",-0.0022,0.008,0.386,-0.0177,-0.0152,-0.0023,0.0112,0.014
"R ant. dorsal Insula",-0.0034,0.0079,0.3274,-0.0187,-0.0163,-0.0034,0.0095,0.0121
"R ant. Hippocampus",-0.0042,0.008,0.2942,-0.0199,-0.0174,-0.0042,0.009,0.0117
"R ant. MCC",-4e-04,0.0083,0.4657,-0.0162,-0.0137,-7e-04,0.0137,0.0168
"R ant. Putamen",-0.0017,0.008,0.4082,-0.0172,-0.0146,-0.0018,0.0116,0.0143
"R ant. Thalamus",-0.0031,0.0078,0.3403,-0.0181,-0.0157,-0.0031,0.0098,0.0125
"R ant. ventral Insula",-0.0048,0.0078,0.2705,-0.0203,-0.0177,-0.0048,0.008,0.0105
"R BLBM Amygdala",-0.003,0.0079,0.3478,-0.0185,-0.0159,-0.003,0.0101,0.0128
"R BST",0.0023,0.0101,0.5722,-0.016,-0.0133,0.0018,0.0197,0.0239
"R CeMe Amygdala",9e-04,0.0091,0.5162,-0.0159,-0.0132,3e-04,0.0166,0.0201
"R dlPFC",-0.0056,0.0079,0.2384,-0.0214,-0.0187,-0.0055,0.0073,0.0098
"R Hippocampus body",-0.0047,0.0078,0.2713,-0.0201,-0.0176,-0.0047,0.0082,0.0109
"R Hippocampus tail",-0.0066,0.008,0.2008,-0.0226,-0.0199,-0.0066,0.0063,0.0088
"R Hypothalamus",-0.002,0.0089,0.4002,-0.0189,-0.0162,-0.0021,0.0129,0.0161
"R lat. OFC",-5e-04,0.0086,0.4632,-0.0167,-0.0142,-8e-04,0.0141,0.0173
"R Lobule IX",-0.0051,0.0077,0.2492,-0.0202,-0.0179,-0.0051,0.0076,0.0102
"R med. OFC",-0.0052,0.0078,0.251,-0.0205,-0.018,-0.0052,0.0076,0.0102
"R mid/post Insula",-0.0035,0.0077,0.3181,-0.0186,-0.0161,-0.0036,0.0093,0.0118
"R PAG",-0.0016,0.0095,0.4316,-0.0204,-0.017,-0.0016,0.014,0.0172
"R PCC",-0.0076,0.0094,0.2068,-0.0275,-0.0237,-0.0072,0.0072,0.0099
"R PCC/precuneus",-0.0032,0.0103,0.3649,-0.0234,-0.0199,-0.0033,0.0137,0.0175
"R post. Caudate",-0.0016,0.0082,0.4163,-0.0175,-0.015,-0.0017,0.012,0.0148
"R post. Putamen",-0.0029,0.008,0.353,-0.0184,-0.0159,-0.0029,0.0103,0.013
"R post. Thalamus",-0.0068,0.0079,0.1963,-0.0227,-0.0201,-0.0068,0.0061,0.0086
"R pre-SMA",-0.0043,0.008,0.2941,-0.0201,-0.0174,-0.0042,0.0089,0.0114
"R Ventral striatum",-0.0036,0.0078,0.3168,-0.0186,-0.0162,-0.0036,0.0092,0.0118
