"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"R Lobule IX",0.003,0.0086,0.6358,-0.0138,-0.011,0.003,0.0172,0.02
"R med. OFC",0.0058,0.0087,0.7498,-0.0112,-0.0084,0.0057,0.0202,0.0231
"R mid/post Insula",-0.0033,0.0083,0.3422,-0.0194,-0.0168,-0.0034,0.0103,0.013
"R PAG",0.0053,0.0122,0.6616,-0.0178,-0.0141,0.0049,0.0258,0.0301
"R PCC",0.0066,0.0119,0.708,-0.0163,-0.0126,0.0064,0.0264,0.0306
"R PCC/precuneus",-0.0097,0.0144,0.2512,-0.0399,-0.0344,-0.0092,0.0127,0.017
"R post. Caudate",-0.0135,0.0102,0.0908,-0.0339,-0.0305,-0.0134,0.003,0.0061
"R post. Putamen",-0.0122,0.0093,0.0944,-0.0305,-0.0276,-0.0122,0.0031,0.006
"R post. Thalamus",0.012,0.0087,0.9171,-0.005,-0.0021,0.0118,0.0265,0.0294
"R pre-SMA",-0.0062,0.0093,0.2483,-0.0244,-0.0214,-0.0062,0.009,0.0121
"R Ventral striatum",0.0017,0.009,0.5706,-0.0157,-0.0129,0.0016,0.0166,0.0196
