"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L_post._MCC",0.0201,0.1037,0.5775,-0.1831,-0.151,0.0202,0.1903,0.2228
"L_post._Putamen",-0.3003,0.1136,0.0047,-0.524,-0.4868,-0.3006,-0.1141,-0.0788
"L_pre-SMA",0.0904,0.113,0.7903,-0.1321,-0.0956,0.0905,0.2759,0.3119
"L_pregenual_ACC",0.0259,0.106,0.5974,-0.1826,-0.1484,0.0251,0.2015,0.2352
"L_v_ant/inf_Thalamus",0.2213,0.1066,0.9805,0.0105,0.0453,0.221,0.3972,0.4311
"L_v_ant/sup_Thalamus",0.1444,0.1352,0.8569,-0.1183,-0.0774,0.1443,0.3681,0.4078
"L_v_lat/post_Thalamus",-0.4327,0.1201,1e-04,-0.6654,-0.6297,-0.4329,-0.2336,-0.1961
"L_Ventral_striatum",0.0503,0.1099,0.6767,-0.1644,-0.1302,0.0504,0.2321,0.2668
"M_PCC",-0.5902,0.1285,0,-0.8445,-0.8033,-0.589,-0.3803,-0.3402
"M_vmPFC1",-0.4814,0.1262,1e-04,-0.7289,-0.6892,-0.4812,-0.2745,-0.2332
"M_vmPFC2",-0.0338,0.1126,0.3788,-0.251,-0.2179,-0.0339,0.1525,0.1877
"R_ACC",0.2721,0.1058,0.9943,0.0638,0.0978,0.2724,0.4461,0.48
"R_ant._Caudate",0.2828,0.1056,0.996,0.0763,0.1091,0.283,0.4574,0.4909
"R_ant._dorsal_Insula",0.2418,0.1046,0.9896,0.0388,0.0706,0.2417,0.4139,0.4472
"R_ant._Hippocampus",-0.6001,0.111,0,-0.8184,-0.7821,-0.5998,-0.418,-0.3825
"R_ant._MCC",0.5946,0.1113,1,0.3784,0.4114,0.5947,0.7756,0.8117
"R_ant._Putamen",0.1397,0.1077,0.9046,-0.0709,-0.0378,0.1389,0.3175,0.3508
"R_ant._ventral_Insula",0.0765,0.1081,0.761,-0.1356,-0.1013,0.0765,0.2546,0.2886
"R_BLBM_Amygdala",-0.2203,0.1138,0.0268,-0.4429,-0.4065,-0.2208,-0.0333,0.0038
"R_BST",0.5626,0.132,1,0.3061,0.3472,0.5615,0.78,0.8238
"R_CeMe_Amygdala",-0.2293,0.1215,0.0293,-0.4671,-0.4288,-0.2294,-0.0292,0.0078
"R_CrusI-krienen",-0.3232,0.1186,0.0028,-0.5574,-0.5182,-0.3231,-0.1286,-0.0926
"R_CrusI-shackman",0.1054,0.1048,0.8437,-0.0978,-0.0656,0.105,0.277,0.3134
"R_d_ant/lat_Thalamus",-0.0122,0.1108,0.4558,-0.2271,-0.1927,-0.0118,0.1709,0.2075
"R_d_ant/med_Thalamus",-0.0459,0.1087,0.3359,-0.2598,-0.2252,-0.046,0.1317,0.1665
"R_dlPFC",0.2931,0.1067,0.9967,0.0836,0.1171,0.293,0.4683,0.5007
"R_FEF",-0.1959,0.1102,0.0386,-0.4112,-0.3773,-0.1957,-0.0145,0.0199
"R_Hippocampus_body",-0.1926,0.1069,0.0348,-0.4017,-0.3684,-0.1927,-0.0175,0.0158
"R_Hippocampus_tail",-0.1632,0.106,0.0615,-0.3713,-0.3368,-0.1632,0.012,0.0459
"R_Hypothalamus",0.1097,0.1231,0.814,-0.1308,-0.0936,0.1094,0.3136,0.3533
"R_IFG-1",-0.0938,0.1074,0.1884,-0.3057,-0.2706,-0.0936,0.0829,0.1171
"R_IFG-2",-0.4628,0.1117,0,-0.6798,-0.6455,-0.4636,-0.2781,-0.2421
"R_IFG-3",0.3556,0.1182,0.9986,0.1249,0.1612,0.3552,0.5506,0.5875
"R_IFG-4",-0.1807,0.123,0.0705,-0.4211,-0.3839,-0.1808,0.0209,0.0619
"R_IFG-5",0.6206,0.1094,1,0.4063,0.4416,0.6205,0.8013,0.8358
"R_IFG-6",0.0026,0.1121,0.5087,-0.2172,-0.183,0.0025,0.1867,0.2232
"R_lat._OFC",-0.38,0.1266,0.0015,-0.6298,-0.5879,-0.3808,-0.1718,-0.1316
"R_med._OFC",-0.2477,0.108,0.0107,-0.4597,-0.4236,-0.2486,-0.07,-0.0353
"R_mid/post_Insula",-0.1535,0.1046,0.072,-0.3582,-0.325,-0.1537,0.0202,0.0541
"R_PAG",0.2525,0.1218,0.9803,0.0119,0.0519,0.253,0.453,0.4922
"R_PCC",-1.0231,0.1323,0,-1.2847,-1.2393,-1.0217,-0.8074,-0.7657
"R_PCC/precuneus",-1.2193,0.1508,0,-1.5168,-1.4668,-1.22,-0.9722,-0.9241
"R_post._Caudate",-0.1122,0.1126,0.1575,-0.3322,-0.2975,-0.1117,0.0735,0.1076
"R_post._MCC",0.1942,0.1093,0.9631,-0.0189,0.0157,0.1941,0.3741,0.4082
"R_post._Putamen",-0.1922,0.1099,0.04,-0.4073,-0.3727,-0.1929,-0.0113,0.0226
"R_pre-SMA",0.3688,0.116,0.9993,0.1427,0.1785,0.3682,0.5605,0.5975
"R_pregenual_ACC",0.0655,0.1071,0.7321,-0.1443,-0.1102,0.0654,0.2417,0.2771
"R_v_ant/inf_Thalamus",0.2823,0.1083,0.995,0.0704,0.1044,0.282,0.4599,0.4957
"R_v_ant/sup_Thalamus",0.3458,0.1271,0.997,0.0953,0.1371,0.3456,0.5569,0.5962
"R_v_lat/post_Thalamus",-0.3182,0.1233,0.005,-0.5577,-0.5196,-0.319,-0.1132,-0.0752
"R_v_med/post_Thalamus",0.078,0.106,0.7706,-0.13,-0.0961,0.0785,0.2534,0.2873
"R_Ventral_striatum",0.1364,0.1109,0.8907,-0.0806,-0.0453,0.1364,0.3189,0.3541
